,No,Periode,Data Inflasi,Bulan,Tahun
4,1,Mei 2023,4.0,Mei,2023
5,2,April 2023,4.33,April,2023
6,3,Maret 2023,4.97,Maret,2023
7,4,Februari 2023,5.47,Februari,2023
8,5,Desember 2022,5.51,Desember,2022
9,6,November 2022,5.42,November,2022
10,7,Oktober 2022,5.71,Oktober,2022
11,8,September 2022,5.95,September,2022
12,9,Agustus 2022,4.69,Agustus,2022
13,10,Juli 2022,4.94,Juli,2022
14,11,Juni 2022,4.35,Juni,2022
15,12,Mei 2022,3.55,Mei,2022
16,13,April 2022,3.47,April,2022
17,14,Maret 2022,2.64,Maret,2022
18,15,Februari 2022,2.06,Februari,2022
19,16,Januari 2022,2.18,Januari,2022
20,17,Desember 2021,1.87,Desember,2021
21,18,November 2021,1.75,November,2021
22,19,Oktober 2021,1.66,Oktober,2021
23,20,September 2021,1.6,September,2021
24,21,Agustus 2021,1.59,Agustus,2021
25,22,Juli 2021,1.52,Juli,2021
26,23,Juni 2021,1.33,Juni,2021
27,24,Mei 2021,1.68,Mei,2021
28,25,April 2021,1.42,April,2021
29,26,Maret 2021,1.37,Maret,2021
30,27,Februari 2021,1.38,Februari,2021
31,28,Januari 2021,1.55,Januari,2021
32,29,Desember 2020,1.68,Desember,2020
33,30,November 2020,1.59,November,2020
34,31,Oktober 2020,1.44,Oktober,2020
35,32,September 2020,1.42,September,2020
36,33,Agustus 2020,1.32,Agustus,2020
37,34,Juli 2020,1.54,Juli,2020
38,35,Juni 2020,1.96,Juni,2020
39,36,Mei 2020,2.19,Mei,2020
40,37,April 2020,2.67,April,2020
41,38,Maret 2020,2.96,Maret,2020
42,39,Februari 2020,2.98,Februari,2020
43,40,Januari 2020,2.68,Januari,2020
44,41,Desember 2019,2.72,Desember,2019
45,42,November 2019,3.0,November,2019
46,43,Oktober 2019,3.13,Oktober,2019
47,44,September 2019,3.39,September,2019
48,45,Agustus 2019,3.49,Agustus,2019
49,46,Juli 2019,3.32,Juli,2019
50,47,Juni 2019,3.28,Juni,2019
51,48,Mei 2019,3.32,Mei,2019
52,49,April 2019,2.83,April,2019
53,50,Maret 2019,2.48,Maret,2019
54,51,Februari 2019,2.57,Februari,2019
55,52,Januari 2019,2.82,Januari,2019
56,53,Desember 2018,3.13,Desember,2018
57,54,November 2018,3.23,November,2018
58,55,Oktober 2018,3.16,Oktober,2018
59,56,September 2018,2.88,September,2018
60,57,Agustus 2018,3.2,Agustus,2018
61,58,Juli 2018,3.18,Juli,2018
62,59,Juni 2018,3.12,Juni,2018
63,60,Mei 2018,3.23,Mei,2018
64,61,April 2018,3.41,April,2018
65,62,Maret 2018,3.4,Maret,2018
66,63,Februari 2018,3.18,Februari,2018
67,64,Januari 2018,3.25,Januari,2018
